Claim_ID,Claimant_Name,Claimant_Address,Insurance_Type,Fraud_Category,Claim_Amount,Claim_Date,Claim_Status,Fraud_Flag,Claim_Description,Missing_Field
50f8cbb3-337c-47b0-8840-11bb1415156b,Sharon Howell,"317 Garcia Road Apt. 432, South Christopherton, IN 36679",Life,None,8021.65,2022-01-30,Denied,0,Spend pull politics education role success information.,
0a7b35b6-16bc-45bb-a2d9-0002c98f05e2,Patrick Lewis,"8827 Brandon Prairie, Smithmouth, MA 50235",Health,Intentional Damage,4220.19,2023-08-18,Approved,1,Early center even bring north although common night.,
85e4c7a6-615a-4425-8529-bb329d45b796,Holly Brown,"323 Phillip Squares Suite 627, Jocelynfurt, GA 13285",Life,Intentional Damage,3929.57,2021-09-24,Under Review,1,Decade note owner perform office shake affect third know without including walk new party page race remain.,
cacc4d1b-bf36-4e71-9ed0-ac5bc4e2f62b,Rachel Ball,"70886 Rodriguez Street Apt. 191, Lake Sarah, OH 38633",General,None,12125.17,2020-04-28,Denied,0,Rich present attack smile unit bed financial mouth study technology.,
989f1709-7feb-4e72-b34d-042b367fe7aa,Tina Pearson,"3103 Karen Roads, North Patrickhaven, ME 91044",General,Intentional Damage,18028.18,2024-06-15,Under Review,1,Station new leader offer.,
c7ff3352-dd8a-49ec-b05b-fb3ce1edb168,Elizabeth Jenkins,"44477 Taylor Crossing, West Monicamouth, ID 10367",Health,Exaggerated Loss,5000.33,2022-10-01,Under Review,1,Brother notice life increase itself do same across administration ability send teach.,
6364779e-9ba1-4faf-a8e8-ec12207a5c6f,Brandon Lopez,"99918 Gomez Road Apt. 558, Michaelamouth, WV 27282",Life,Intentional Damage,22433.65,2021-06-07,Denied,1,Pm lawyer police rate marriage decide case research it.,
16770ac2-0392-4f88-8f7b-01cc4bc89bd0,Theresa Vaughan,"04137 Regina Meadow Apt. 453, Lake Joshuaberg, NM 61339",Vehicle,Staged Accident,23084.09,2022-08-25,Denied,1,Participant consumer bill perform large real stage record.#,
117fe2d9-ff0c-492a-9933-313f395c6947,Melanie Hernandez,"1401 John Park Apt. 933, Port Stephenville, AL 03568",Health,Exaggerated Loss,2395.47,2020-09-10,Denied,1,Production gas cut really leg grow able contain billion research serious hard off.,
6bbc497f-c8fe-459e-bb84-5157022a9695,Wayne Jackson,"467 Merritt Course Apt. 414, Lake Melissa, DC 01199",Vehicle,Exaggerated Loss,12564.16,2024-11-05,Under Review,1,Step participant standard entire should social.,
8fc00cc0-0c15-44a1-b6db-5ba457e2b270,Deborah Rhodes,"536 Harper Street, Englishfurt, PA 85095",Health,Intentional Damage,15887.6,2020-10-25,Under Review,1,Individual share dark newspaper entire wear myself product establish.%,
7b942876-e0b1-48f9-ad79-403283915958,Randy Stuart,"02924 Thomas Burg Suite 059, West Jenniferview, NV 63168",Life,Staged Accident,28257.25,2022-08-25,Denied,1,Door life ball official happy recent sister cell serious throw situation.,
8a9025c6-6720-43a6-8b9e-973bf1d518ce,Martha Brown,"Unit 5600 Box 2171, DPO AP 50341",Vehicle,None,8273.41,2020-02-18,Under Review,0,Argue turn court stop Republican million past decide much our up treat benefit arm physical.&,
4cd96d1a-998e-475c-acc5-5181e4f63a87,Shannon Foster,"34239 Ball Groves, New Anthonyton, WY 02717",Life,Intentional Damage,11417.49,2022-06-25,Denied,1,Decade go spring add then.@,
63ba82f8-9fce-4168-a95a-68a28a4f73aa,Amanda Hughes,"795 Brown Square, Amberborough, NM 95120",Life,Exaggerated Loss,7903.39,2024-06-07,Denied,1,Past deal help executive wear again seem could ago.,
0bd2a8b7-55ea-49b8-aec8-000922e9d7be,Jonathan Fitzgerald,"59240 Jessica Green Apt. 526, West Marystad, ID 39054",General,Exaggerated Loss,14130.32,2024-03-10,Approved,1,Agent along their record him professor gas loss water type.&,
ed3dcc79-cf14-434a-a2d0-cbd7456e4e35,Nathaniel Skinner,"9764 Cynthia Ford Apt. 674, Ericland, MD 27233",Life,Intentional Damage,1751.4,2020-12-05,Denied,1,Source heavy federal control event money model music deal country heart they.,
825a2c52-f751-4b7d-9ccd-5200080a819c,Lisa Becker,"354 Gordon Parkways Suite 650, Lake George, AL 45127",Life,Exaggerated Loss,4741.13,2023-08-18,Under Review,1,Sort fast let within these spend figure.,
f5b59f61-8a66-4e44-b1ee-485f52649709,Amy Douglas,"81489 Edwards Square Apt. 058, Anthonyton, DC 09169",General,Exaggerated Loss,21029.1,2024-04-22,Approved,1,Simply human education generation prove rule left.,
6fe8b150-043f-46f7-9a10-cd614b977956,Ian Rodriguez,"9924 Sierra Bridge Suite 749, Jeremyfort, PA 77116",Health,Intentional Damage,7709.46,2024-06-12,Approved,1,Financial tax arrive kid operation local always move south question event.%,
33e58bde-3f3d-471a-9e3a-577fad96891e,Wesley Rivera,"6615 Jones Street Apt. 443, Carrillotown, ND 10033",Life,Exaggerated Loss,7808.16,2022-06-24,Approved,1,Then somebody people long today.,
3594d4c3-862c-4d0c-811b-cc7824ec6196,Tanner Brown,"410 Linda Coves, Port Destinyton, ME 22698",Vehicle,Intentional Damage,3420.21,2022-05-17,Approved,1,Speech full happen night girl on bring need.,
71c19649-36da-44a6-a6bc-3ac326ded7ed,Lisa White,"042 Matthew Expressway, Port Nicholasburgh, MT 99926",General,None,30552.98,2020-05-02,Denied,0,Standard across very rest interest pick all can church anything let may.,
e0d9ae34-6241-43c6-b4bc-2027df97c796,Leah Harmon,"585 Wilson Junction Suite 754, Joneshaven, PA 74770",Health,Exaggerated Loss,13749.36,2021-10-02,Denied,1,Lawyer never close each town body possible.@,
58e29e2d-903c-42a0-8bcd-eb2a914eeea7,Jacob Thompson,"Unit 0430 Box 8148, DPO AA 30433",Vehicle,Staged Accident,12053.27,2021-03-03,Approved,1,Tonight billion plant less machine read citizen matter somebody data loss.,
a524d88e-1a42-4dd6-bdca-16b0593508e0,Matthew Gilbert,"61833 Atkins Fort Suite 516, Abbottborough, WI 04428",Health,Intentional Damage,25610.08,2020-11-15,Denied,1,Risk cut control fish piece writer say decade.&,
7c4027cf-358a-4d11-a710-40affffb6e5f,Lori Morris,"65398 Davis Crescent Apt. 831, Suzannetown, CA 07189",Vehicle,Staged Accident,20272.52,2023-04-07,Approved,1,High different morning there away happy bag design tonight computer number present agent.,
94de576e-37ab-4e12-9c2d-a981815d90cb,Audrey Navarro,"0428 Amanda Ports, New Oscarburgh, ID 32804",Health,Staged Accident,13415.64,2023-10-10,Under Review,1,Get probably too within good quality.,
f399c140-9982-46ed-b3f0-bf660433fa24,Brandi Ramos,"2224 Nicholas Station Suite 954, Pollardmouth, CO 73765",Life,Intentional Damage,4827.49,2021-04-27,Approved,1,Everything or meeting edge maybe term never boy whether tough information indeed.,
